Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,226.49000549316406,170.8000030517578,164.2837371826172,410.6000061035156,226.49000549316406,170.8000030517578,164.5,410.6000061035156,229.86000061035156,173.69000244140625,167.38999938964844,415.0,225.67999267578125,168.9199981689453,163.27999877929688,407.30999755859375,227.9199981689453,173.69000244140625,166.77999877929688,414.8800048828125,38052200,29045000,15208700,14882700
2024-08-29,229.7899932861328,172.1199951171875,163.1851806640625,413.1199951171875,229.7899932861328,172.1199951171875,163.39999389648438,413.1199951171875,232.9199981689453,174.2899932861328,167.6300048828125,422.04998779296875,228.8800048828125,170.80999755859375,161.98199462890625,410.6000061035156,230.10000610351562,173.22000122070312,166.05999755859375,414.94000244140625,51906300,26407800,17133800,17045200
2024-08-30,229.0,178.5,164.8929443359375,417.1400146484375,229.0,178.5,165.11000061035156,417.1400146484375,230.39999389648438,178.89999389648438,165.27999877929688,417.489990234375,227.47999572753906,172.60000610351562,163.41000366210938,412.1300048828125,230.19000244140625,172.77999877929688,164.22000122070312,415.6000061035156,52990800,43429400,18498800,24308300
2024-09-03,222.77000427246094,176.25,158.4014892578125,409.44000244140625,222.77000427246094,176.25,158.61000061035156,409.44000244140625,229.0,178.25999450683594,163.3800048828125,419.8800048828125,221.1699981689453,175.25999450683594,157.85499572753906,407.0299987792969,228.5500030517578,177.5500030517578,163.31500244140625,417.9100036621094,50190600,37817500,26533100,20313600
2024-09-04,220.85000610351562,173.3300018310547,157.6025390625,408.8999938964844,220.85000610351562,173.3300018310547,157.80999755859375,408.8999938964844,221.77999877929688,175.97999572753906,160.39999389648438,411.239990234375,217.47999572753906,172.5399932861328,157.44000244140625,404.3699951171875,221.66000366210938,174.47999572753906,158.0749969482422,405.9100036621094,43840200,30309200,17410700,15135800
2024-09-05,222.3800048828125,177.88999938964844,158.39151000976562,408.3900146484375,222.3800048828125,177.88999938964844,158.60000610351562,408.3900146484375,225.47999572753906,179.8800048828125,161.01499938964844,413.1000061035156,221.52000427246094,175.0,157.52000427246094,406.1300048828125,221.6300048828125,175.0,157.77999877929688,407.6199951171875,36615400,40170500,14139500,14195500
2024-09-06,220.82000732421875,171.38999938964844,151.9300079345703,401.70001220703125,220.82000732421875,171.38999938964844,152.1300048828125,401.70001220703125,225.24000549316406,178.3800048828125,159.22000122070312,410.6499938964844,219.77000427246094,171.16000366210938,151.93499755859375,400.79998779296875,223.9499969482422,177.24000549316406,158.69000244140625,409.05999755859375,48423000,41466500,24999100,19609500
2024-09-09,220.91000366210938,175.39999389648438,149.5399932861328,405.7200012207031,220.91000366210938,175.39999389648438,149.5399932861328,405.7200012207031,221.27000427246094,175.85000610351562,154.63999938964844,408.6499938964844,216.7100067138672,173.50999450683594,148.1999969482422,402.1499938964844,220.82000732421875,174.52999877929688,153.6300048828125,407.239990234375,67180000,29037400,28057700,15295100
2024-09-10,220.11000061035156,179.5500030517578,150.00999450683594,414.20001220703125,220.11000061035156,179.5500030517578,150.00999450683594,414.20001220703125,221.47999572753906,180.5,152.3000030517578,416.3299865722656,216.72999572753906,176.7899932861328,149.54299926757812,407.70001220703125,218.9199981689453,177.49000549316406,151.4499969482422,408.20001220703125,51591000,36233800,20401800,19594300
2024-09-11,222.66000366210938,184.52000427246094,152.14999389648438,423.0400085449219,222.66000366210938,184.52000427246094,152.14999389648438,423.0400085449219,223.08999633789062,184.99000549316406,152.47999572753906,423.989990234375,217.88999938964844,175.72999572753906,148.6999969482422,409.5799865722656,221.4600067138672,180.10000610351562,151.08999633789062,415.5,44587100,42564700,18991500,19266900
2024-09-12,222.77000427246094,187.0,155.5399932861328,427.0,222.77000427246094,187.0,155.5399932861328,427.0,223.5500030517578,187.41000366210938,155.61000061035156,427.3699951171875,219.82000732421875,183.5399932861328,153.5,419.75,222.5,184.8000030517578,154.80999755859375,423.30999755859375,37498200,33622500,21024100,17418800
2024-09-13,222.5,186.49000549316406,158.3699951171875,430.5899963378906,222.5,186.49000549316406,158.3699951171875,430.5899963378906,224.0399932861328,188.5,159.27499389648438,431.8299865722656,221.91000366210938,185.91000366210938,156.11000061035156,425.4599914550781,223.5800018310547,187.0,156.36199951171875,425.8299865722656,36766600,26495400,16733900,15874600
2024-09-16,216.32000732421875,184.88999938964844,158.99000549316406,431.3399963378906,216.32000732421875,184.88999938964844,158.99000549316406,431.3399963378906,217.22000122070312,185.80999755859375,159.24000549316406,433.5299987792969,213.9199981689453,183.36000061035156,157.61000061035156,428.2200012207031,216.5399932861328,185.2899932861328,158.3300018310547,430.6000061035156,59357400,26065500,14157600,13834700
2024-09-17,216.7899932861328,186.8800048828125,160.27999877929688,435.1499938964844,216.7899932861328,186.8800048828125,160.27999877929688,435.1499938964844,216.89999389648438,189.4499969482422,161.58999633789062,441.8500061035156,214.5,186.13999938964844,159.41000366210938,432.2699890136719,215.75,186.85000610351562,160.08999633789062,440.2300109863281,45519300,26091700,12064800,18874200
2024-09-18,220.69000244140625,186.42999267578125,160.80999755859375,430.80999755859375,220.69000244140625,186.42999267578125,160.80999755859375,430.80999755859375,222.7100067138672,188.8000030517578,161.6300048828125,436.0299987792969,217.5399932861328,185.05999755859375,159.66000366210938,430.4100036621094,217.5500030517578,186.4499969482422,160.85000610351562,435.0,59894900,34448100,16756500,18898000
2024-09-19,228.8699951171875,189.8699951171875,163.24000549316406,438.69000244140625,228.8699951171875,189.8699951171875,163.24000549316406,438.69000244140625,229.82000732421875,190.99000549316406,164.99000549316406,441.5,224.6300048828125,188.47000122070312,162.52200317382812,436.8999938964844,224.99000549316406,190.0399932861328,164.82000732421875,441.2300109863281,66781300,39543200,17548200,21706600
