Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-28,169.82101440429688,125.9800033569336,132.80386352539062,311.3033752441406,170.69000244140625,125.9800033569336,133.1300048828125,313.6400146484375,172.02999877929688,126.58000183105469,134.17999267578125,315.4800109863281,167.6199951171875,123.04000091552734,130.69000244140625,309.45001220703125,169.33999633789062,124.04000091552734,130.69000244140625,310.989990234375,56294400,54555000,18201400,19683600
2023-09-29,170.33836364746094,127.12000274658203,131.52699279785156,313.39764404296875,171.2100067138672,127.12000274658203,131.85000610351562,315.75,173.07000732421875,129.14999389648438,134.88999938964844,319.4700012207031,170.33999633789062,126.31999969482422,131.32000732421875,314.9800109863281,172.02000427246094,128.1999969482422,134.0800018310547,317.75,51814200,62377600,23224200,24140300
2023-10-02,172.86541748046875,129.4600067138672,134.83885192871094,319.40252685546875,173.75,129.4600067138672,135.1699981689453,321.79998779296875,174.3000030517578,130.47000122070312,135.36000061035156,321.8900146484375,170.92999267578125,126.54000091552734,132.06500244140625,315.17999267578125,171.22000122070312,127.27999877929688,132.15499877929688,316.2799987792969,52164500,48029700,19210400,20570000
2023-10-03,171.5222930908203,124.72000122070312,132.9734344482422,311.05517578125,172.39999389648438,124.72000122070312,133.3000030517578,313.3900146484375,173.6300048828125,128.52000427246094,135.24000549316406,321.3900146484375,170.82000732421875,124.25,132.81500244140625,311.2099914550781,172.25999450683594,128.05999755859375,134.92999267578125,320.8299865722656,49594600,51565000,19628700,21033500
2023-10-04,172.77587890625,127.0,135.93617248535156,316.5837097167969,173.66000366210938,127.0,136.27000427246094,318.9599914550781,174.2100067138672,127.36000061035156,136.57000732421875,320.0400085449219,170.97000122070312,125.68000030517578,133.42999267578125,314.0,171.08999633789062,126.05999755859375,133.66000366210938,314.0299987792969,53020300,44203900,22848000,20720100
2023-10-05,174.01953125,125.95999908447266,135.6568603515625,316.9806823730469,174.91000366210938,125.95999908447266,135.99000549316406,319.3599853515625,175.4499969482422,126.7300033569336,136.5,319.9800109863281,172.67999267578125,124.33000183105469,134.4550018310547,314.8999938964844,173.7899932861328,126.70999908447266,136.1300048828125,319.0899963378906,48527900,39660600,15922900,16965600
2023-10-06,176.58639526367188,127.95999908447266,138.39013671875,324.8218688964844,177.49000549316406,127.95999908447266,138.72999572753906,327.260009765625,177.99000549316406,128.4499969482422,139.18600463867188,329.19000244140625,173.17999267578125,124.12999725341797,134.94000244140625,316.29998779296875,173.8000030517578,124.16000366210938,134.94000244140625,316.54998779296875,57224100,46795900,20819300,25645500
2023-10-09,178.07875061035156,128.25999450683594,139.1582489013672,327.3628234863281,178.99000549316406,128.25999450683594,139.5,329.82000732421875,179.0500030517578,128.7899932861328,139.97000122070312,330.29998779296875,175.8000030517578,124.76000213623047,136.6999969482422,323.17999267578125,176.80999755859375,126.22000122070312,137.99000549316406,324.75,42390800,38773700,16599100,19891200
2023-10-10,177.4818115234375,129.47999572753906,138.85899353027344,325.9434814453125,178.38999938964844,129.47999572753906,139.1999969482422,328.3900146484375,179.72000122070312,130.74000549316406,140.74000549316406,331.1000061035156,177.9499969482422,128.0500030517578,138.42999267578125,327.6700134277344,178.10000610351562,128.82000732421875,139.50999450683594,330.9599914550781,43698000,42178600,19554900,20557100
2023-10-11,178.88462829589844,131.8300018310547,141.3528594970703,329.9434509277344,179.8000030517578,131.8300018310547,141.6999969482422,332.4200134277344,179.85000610351562,132.0500030517578,142.22000122070312,332.82000732421875,177.60000610351562,129.61000061035156,139.83999633789062,329.1400146484375,178.1999969482422,129.74000549316406,139.85000610351562,331.2099914550781,47551100,40741800,20146300,20063200
2023-10-12,179.7899932861328,132.3300018310547,139.94630432128906,328.69281005859375,180.7100067138672,132.3300018310547,140.2899932861328,331.1600036621094,182.33999633789062,134.47999572753906,142.3800048828125,333.6300048828125,179.0399932861328,131.22999572753906,139.4499969482422,328.7200012207031,180.07000732421875,132.1699981689453,142.16000366210938,330.57000732421875,56743100,55528600,18173100,19313100
2023-10-13,177.93948364257812,129.7899932861328,138.24050903320312,325.28839111328125,178.85000610351562,129.7899932861328,138.5800018310547,327.7300109863281,181.92999267578125,133.30999755859375,141.33999633789062,333.8299865722656,178.13999938964844,128.9499969482422,137.97000122070312,326.3599853515625,181.4199981689453,132.97999572753906,140.64999389648438,332.3800048828125,51427100,45786600,19438700,21072400
2023-10-16,177.81011962890625,132.5500030517578,140.14584350585938,330.16180419921875,178.72000122070312,132.5500030517578,140.49000549316406,332.6400146484375,179.0800018310547,133.07000732421875,140.90499877929688,336.1400146484375,176.50999450683594,130.42999267578125,139.32000732421875,330.6000061035156,176.75,130.69000244140625,139.72999572753906,331.04998779296875,52517000,42832900,17345600,22158000
2023-10-17,176.24810791015625,131.47000122070312,140.6446075439453,329.5860900878906,177.14999389648438,131.47000122070312,140.99000549316406,332.05999755859375,178.4199981689453,132.5800018310547,141.25,333.4599914550781,174.8000030517578,128.7100067138672,138.5290069580078,327.4100036621094,176.64999389648438,130.38999938964844,140.02999877929688,329.5899963378906,57549400,49344600,17424000,18338500
2023-10-18,174.9447784423828,128.1300048828125,138.9387969970703,327.6506652832031,175.83999633789062,128.1300048828125,139.27999877929688,330.1099853515625,177.5800018310547,130.6699981689453,141.99000549316406,335.5899963378906,175.11000061035156,127.51000213623047,138.7050018310547,328.29998779296875,175.5800018310547,129.89999389648438,140.75,332.489990234375,54764400,42699500,18304900,23153600
2023-10-19,174.5667266845703,128.39999389648438,138.6395263671875,328.85162353515625,175.4600067138672,128.39999389648438,138.97999572753906,331.32000732421875,177.83999633789062,132.24000549316406,141.0050048828125,336.8800048828125,175.19000244140625,127.47000122070312,138.60000610351562,330.9100036621094,176.0399932861328,130.57000732421875,139.8000030517578,332.1499938964844,59302900,60961400,21831200,25052100
