Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT,AAPL,AMZN,GOOG,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29,22.22209358215332,16.090999603271484,28.668691635131836,39.70708084106445,25.02750015258789,16.090999603271484,28.739097595214844,46.439998626708984,25.110000610351562,16.1875,28.830345153808594,46.560001373291016,24.657499313354492,15.949999809265137,28.48030662536621,45.7599983215332,24.662500381469727,16.024999618530273,28.509227752685547,45.97999954223633,199065200,38492000,25648224,26091000
2014-09-30,22.364166259765625,16.121999740600586,28.718433380126953,39.63867950439453,25.1875,16.121999740600586,28.788959503173828,46.36000061035156,25.385000228881836,16.171499252319336,28.913118362426758,46.47999954223633,25.13249969482422,15.92549991607666,28.564077377319336,46.0099983215332,25.202499389648438,16.06800079345703,28.767518997192383,46.369998931884766,221056400,52724000,32434806,33033100
2014-10-01,22.01565933227539,15.873000144958496,28.26628875732422,39.245361328125,24.795000076293945,15.873000144958496,28.335704803466797,45.900001525878906,25.172500610351562,16.10849952697754,28.799930572509766,46.529998779296875,24.674999237060547,15.77750015258789,28.272876739501953,45.849998474121094,25.147499084472656,16.101999282836914,28.72164535522461,46.27000045776367,205965200,61782000,28909153,38088400
2014-10-02,22.17548179626465,15.920499801635742,28.356319427490234,39.12567901611328,24.975000381469727,15.920499801635742,28.42595672607422,45.7599983215332,25.05500030517578,15.92650032043457,28.5172061920166,46.099998474121094,24.510000228881836,15.565500259399414,28.088882446289062,45.63999938964844,24.8174991607666,15.845999717712402,28.2878360748291,45.83000183105469,191031200,71078000,23568530,25119400
2014-10-03,22.113330841064453,16.136999130249023,28.614971160888672,39.40781784057617,24.905000686645508,16.136999130249023,28.685245513916016,46.09000015258789,25.052499771118164,16.257999420166016,28.782228469848633,46.29999923706055,24.760000228881836,15.976499557495117,28.5466251373291,45.61000061035156,24.860000610351562,16.01799964904785,28.574050903320312,45.97999954223633,173878400,60748000,22834521,32453200
2014-10-06,22.113330841064453,16.110000610351562,28.71793556213379,39.40781784057617,24.905000686645508,16.110000610351562,28.788461685180664,46.09000015258789,25.162500381469727,16.206499099731445,28.970462799072266,46.29999923706055,24.854999542236328,15.979999542236328,28.643360137939453,45.91999816894531,24.987499237060547,16.174999237060547,28.860763549804688,46.119998931884766,148204800,45806000,24292512,20604000
2014-10-07,21.920211791992188,15.848999977111816,28.040958404541016,38.92900848388672,24.6875,15.848999977111816,28.10982322692871,45.529998779296875,25.030000686645508,16.100000381469727,28.68474578857422,45.93000030517578,24.6825008392334,15.833499908447266,28.10982322692871,45.41999816894531,24.857500076293945,15.971500396728516,28.64136505126953,45.86000061035156,168376800,47308000,38226664,25723700
2014-10-08,22.375267028808594,16.135000228881836,28.47669219970703,39.99779510498047,25.200000762939453,16.135000228881836,28.5466251373291,46.779998779296875,25.27750015258789,16.20549964904785,28.615436553955078,46.88999938964844,24.577499389648438,15.706999778747559,27.798179626464844,45.34000015258789,24.690000534057617,15.829000473022461,28.201074600219727,45.47999954223633,229618800,69056000,39817018,33031000
2014-10-09,22.42409896850586,15.768500328063965,27.89870262145996,39.20261001586914,25.2549991607666,15.768500328063965,27.96721649169922,45.849998474121094,25.594999313354492,16.113500595092773,28.49626350402832,46.79999923706055,25.15250015258789,15.72599983215332,27.87646484375,45.7400016784668,25.385000228881836,16.074499130249023,28.480806350708008,46.5,309506000,71758000,50496258,34422800
2014-10-10,22.35972785949707,15.569499969482422,27.083446502685547,37.646480560302734,25.1825008392334,15.569499969482422,27.149959564208984,44.029998779296875,25.50749969482422,15.888500213623047,28.179134368896484,46.119998931884766,25.075000762939453,15.569000244140625,27.128019332885742,43.95000076293945,25.172500610351562,15.701000213623047,27.809648513793945,45.599998474121094,265326400,73638000,61638766,51978100
2014-10-13,22.155508041381836,15.322500228881836,26.522369384765625,37.32157897949219,24.952499389648438,15.322500228881836,26.58750343322754,43.650001525878906,25.44499969482422,15.65999984741211,27.3997745513916,44.560001373291016,24.952499389648438,15.173500061035156,26.582019805908203,43.4900016784668,25.332500457763672,15.493499755859375,27.174890518188477,43.81999969482422,214333600,87278000,51633371,37100200
2014-10-14,21.920211791992188,15.415499687194824,26.757644653320312,37.38998031616211,24.6875,15.415499687194824,26.82335662841797,43.72999954223633,25.1299991607666,15.612000465393066,27.284589767456055,44.380001068115234,24.642499923706055,15.287500381469727,26.585508346557617,43.560001373291016,25.09749984741211,15.399999618530273,26.871225357055664,43.869998931884766,254754400,67716000,44451708,38115700
2014-10-15,21.6516170501709,15.298500061035156,26.364194869995117,36.95391845703125,24.385000228881836,15.298500061035156,26.428939819335938,43.220001220703125,24.787500381469727,15.395000457763672,26.567060470581055,43.38999938964844,23.795000076293945,14.954999923706055,25.844045639038086,42.099998474121094,24.49250030517578,15.217499732971191,26.47780418395996,43.0,403734400,106878000,74387672,60218700
2014-10-16,21.367490768432617,15.142999649047852,26.089622497558594,36.54351806640625,24.065000534057617,15.142999649047852,26.15369415283203,42.7400016784668,24.43000030517578,15.340999603271484,26.39902114868164,43.08000183105469,23.852500915527344,14.691499710083008,25.67949676513672,42.220001220703125,23.887500762939453,14.691499710083008,25.878948211669922,42.529998779296875,288618000,94626000,74171079,49040400
2014-10-17,21.68047332763672,15.182000160217285,25.42607879638672,37.304481506347656,24.417499542236328,15.182000160217285,25.488521575927734,43.630001068115234,24.75,15.460000038146973,26.476308822631836,43.939998626708984,24.202499389648438,15.13599967956543,25.356882095336914,42.790000915527344,24.375,15.357500076293945,26.290319442749023,43.20000076293945,272718800,88102000,110787334,40683300
2014-10-20,22.144405364990234,15.310500144958496,25.907073974609375,37.68924331665039,24.940000534057617,15.310500144958496,25.9706974029541,44.08000183105469,24.989999771118164,15.326499938964844,26.016572952270508,44.13999938964844,24.55500030517578,15.10099983215332,25.33544158935547,42.810001373291016,24.579999923706055,15.147500038146973,25.40275764465332,43.060001373291016,310069200,64690000,52150788,34527900
